Dimensions,Algorithm,Input_Order,Mean_Time,StdDev_Time,Min_Time,Max_Time,Mean_Rebuilds
2,Deterministic Grid,Original,589107.3,451060.0675317701,123916.6,1209881.5,24.2
2,Deterministic Grid,Sorted_X_Axis,569044.48,439441.0745268778,113833.9,1178335.7,14.0
2,Randomized Grid,Original,584830.0,433432.46766262216,128962.7,1171209.9,23.0
2,Randomized Grid,Sorted_X_Axis,593757.26,454111.9438953384,125074.7,1206426.0,24.6
3,Deterministic Grid,Original,1654578.36,1291917.5082166966,340190.6,3491280.5,19.6
3,Deterministic Grid,Sorted_X_Axis,1635026.52,1261353.9939020972,342213.3,3402413.9,16.0
3,Randomized Grid,Original,1658841.84,1293113.3336917586,348036.4,3505285.2,22.8
3,Randomized Grid,Sorted_X_Axis,1652566.0,1263156.0495730366,349358.3,3415870.5,26.0
5,Deterministic Grid,Original,14647501.74,11301467.841830472,3051273.9,30551744.8,22.4
5,Deterministic Grid,Sorted_X_Axis,14621129.14,11278908.978567686,3045819.7,30461012.0,19.6
5,Randomized Grid,Original,14616283.6,11260327.104216026,3049078.7,30414872.6,19.6
5,Randomized Grid,Sorted_X_Axis,14621638.459999999,11259405.812386777,3055458.8,30444327.3,22.2
7,Deterministic Grid,Original,131245560.61999997,101196961.53576244,27347737.0,273410703.7,18.2
7,Deterministic Grid,Sorted_X_Axis,131270127.17999999,101239527.81704915,27344154.4,273516149.5,16.8
7,Randomized Grid,Original,131272139.7,101227876.24290565,27354002.8,273489209.1,21.2
7,Randomized Grid,Sorted_X_Axis,131269133.24000001,101204908.8998669,27363661.0,273424146.0,24.6
