Dataset_Class,Subtype,Source_File,Dimension,Num_Points,Input_Order,Algorithm,Mean_Time_ms,Speedup,Rebuilds,StdDev_Time_ms,StdDev_Rebuilds,Iterations
Adversarial,Adversarial_Ladder_of_Pairs,experiment_results_20260911_182510.csv,2,5000,Ladder_of_Pairs,Deterministic Grid,2485.26587,199.85781215697094,2499.0,33.74339,0.0,10
Adversarial,Adversarial_Ladder_of_Pairs,experiment_results_20260911_182510.csv,2,5000,Ladder_of_Pairs,Randomized Grid,12.43517,199.85781215697094,13.7,1.41775,2.49666,10
Adversarial,Adversarial_Sorted_X_Axis,experiment_results_20260911_182510.csv,2,5000,Sorted_X_Axis,Deterministic Grid,58.5468,4.431875213373716,54.0,0.57303,0.0,10
Adversarial,Adversarial_Sorted_X_Axis,experiment_results_20260911_182510.csv,2,5000,Sorted_X_Axis,Randomized Grid,13.21039,4.431875213373716,15.0,2.64252,3.97213,10
Adversarial,Adversarial_Ladder_of_Pairs,experiment_results_20260911_182510.csv,2,10000,Ladder_of_Pairs,Deterministic Grid,10531.08796,392.41352460864243,4999.0,130.17681,0.0,10
Adversarial,Adversarial_Ladder_of_Pairs,experiment_results_20260911_182510.csv,2,10000,Ladder_of_Pairs,Randomized Grid,26.83671,392.41352460864243,19.7,5.32947,4.80856,10
Adversarial,Adversarial_Sorted_X_Axis,experiment_results_20260911_182510.csv,2,10000,Sorted_X_Axis,Deterministic Grid,43.43082,1.641104760436481,38.0,0.15355,0.0,10
Adversarial,Adversarial_Sorted_X_Axis,experiment_results_20260911_182510.csv,2,10000,Sorted_X_Axis,Randomized Grid,26.46438,1.641104760436481,16.9,4.50433,2.5144,10
Adversarial,Adversarial_Ladder_of_Pairs,experiment_results_20260911_182510.csv,2,15000,Ladder_of_Pairs,Deterministic Grid,23862.96164,583.8613361963293,7499.0,133.63168,0.0,10
Adversarial,Adversarial_Ladder_of_Pairs,experiment_results_20260911_182510.csv,2,15000,Ladder_of_Pairs,Randomized Grid,40.87094,583.8613361963293,16.9,5.8181,2.99815,10
Adversarial,Adversarial_Sorted_X_Axis,experiment_results_20260911_182510.csv,2,15000,Sorted_X_Axis,Deterministic Grid,38.91946,0.9556075816187855,25.0,0.33225,0.0,10
Adversarial,Adversarial_Sorted_X_Axis,experiment_results_20260911_182510.csv,2,15000,Sorted_X_Axis,Randomized Grid,40.72745,0.9556075816187855,16.7,8.43849,3.83116,10
Adversarial,Adversarial_Ladder_of_Pairs,experiment_results_20260911_182510.csv,2,20000,Ladder_of_Pairs,Deterministic Grid,45004.69322,781.3659355811872,9999.0,3636.42915,0.0,10
Adversarial,Adversarial_Ladder_of_Pairs,experiment_results_20260911_182510.csv,2,20000,Ladder_of_Pairs,Randomized Grid,57.59746,781.3659355811872,18.7,10.27643,4.19126,10
Adversarial,Adversarial_Sorted_X_Axis,experiment_results_20260911_182510.csv,2,20000,Sorted_X_Axis,Deterministic Grid,497.96977,7.577307993358345,104.0,20.33758,0.0,10
Adversarial,Adversarial_Sorted_X_Axis,experiment_results_20260911_182510.csv,2,20000,Sorted_X_Axis,Randomized Grid,65.71856,7.577307993358345,20.1,3.89381,4.04008,10
Adversarial,Adversarial_Ladder_of_Pairs,experiment_results_20260911_182510.csv,2,25000,Ladder_of_Pairs,Deterministic Grid,67947.13378,981.4714890366671,12499.0,2744.5869,0.0,10
Adversarial,Adversarial_Ladder_of_Pairs,experiment_results_20260911_182510.csv,2,25000,Ladder_of_Pairs,Randomized Grid,69.22986,981.4714890366671,17.1,11.54832,5.85852,10
Adversarial,Adversarial_Sorted_X_Axis,experiment_results_20260911_182510.csv,2,25000,Sorted_X_Axis,Deterministic Grid,263.06261,4.035223101630133,70.0,2.32602,0.0,10
Adversarial,Adversarial_Sorted_X_Axis,experiment_results_20260911_182510.csv,2,25000,Sorted_X_Axis,Randomized Grid,65.19159,4.035223101630133,19.2,10.11784,4.58984,10
Adversarial,Adversarial_Ladder_of_Pairs,experiment_results_20260911_182510.csv,3,5000,Ladder_of_Pairs,Deterministic Grid,2654.50515,108.03521383564353,2499.0,31.68518,0.0,10
Adversarial,Adversarial_Ladder_of_Pairs,experiment_results_20260911_182510.csv,3,5000,Ladder_of_Pairs,Randomized Grid,24.57074,108.03521383564353,14.9,1.86582,3.60401,10
Adversarial,Adversarial_Sorted_X_Axis,experiment_results_20260911_182510.csv,3,5000,Sorted_X_Axis,Deterministic Grid,26.53308,1.053708261138405,24.0,0.09662,0.0,10
Adversarial,Adversarial_Sorted_X_Axis,experiment_results_20260911_182510.csv,3,5000,Sorted_X_Axis,Randomized Grid,25.18067,1.053708261138405,15.4,1.92213,5.01553,10
Adversarial,Adversarial_Ladder_of_Pairs,experiment_results_20260911_182510.csv,3,10000,Ladder_of_Pairs,Deterministic Grid,10618.78859,211.00441192601048,4999.0,90.79544,0.0,10
Adversarial,Adversarial_Ladder_of_Pairs,experiment_results_20260911_182510.csv,3,10000,Ladder_of_Pairs,Randomized Grid,50.32496,211.00441192601048,17.0,3.01214,4.32049,10
Adversarial,Adversarial_Sorted_X_Axis,experiment_results_20260911_182510.csv,3,10000,Sorted_X_Axis,Deterministic Grid,66.59912,1.174032525361465,17.0,0.37456,0.0,10
Adversarial,Adversarial_Sorted_X_Axis,experiment_results_20260911_182510.csv,3,10000,Sorted_X_Axis,Randomized Grid,56.72681,1.174032525361465,20.8,4.2023,4.63801,10
Adversarial,Adversarial_Ladder_of_Pairs,experiment_results_20260911_182510.csv,3,15000,Ladder_of_Pairs,Deterministic Grid,24327.24858,303.5120752954774,7499.0,275.08804,0.0,10
Adversarial,Adversarial_Ladder_of_Pairs,experiment_results_20260911_182510.csv,3,15000,Ladder_of_Pairs,Randomized Grid,80.15249,303.5120752954774,17.9,9.90814,3.84274,10
Adversarial,Adversarial_Sorted_X_Axis,experiment_results_20260911_182510.csv,3,15000,Sorted_X_Axis,Deterministic Grid,131.64875,1.5835852879740804,34.0,0.27441,0.0,10
Adversarial,Adversarial_Sorted_X_Axis,experiment_results_20260911_182510.csv,3,15000,Sorted_X_Axis,Randomized Grid,83.13335,1.5835852879740804,18.9,6.16256,3.90014,10
Adversarial,Adversarial_Ladder_of_Pairs,experiment_results_20260911_182510.csv,3,20000,Ladder_of_Pairs,Deterministic Grid,44117.14663,404.2986973628526,9999.0,485.46742,0.0,10
Adversarial,Adversarial_Ladder_of_Pairs,experiment_results_20260911_182510.csv,3,20000,Ladder_of_Pairs,Randomized Grid,109.12018,404.2986973628526,18.5,6.70469,1.95789,10
Adversarial,Adversarial_Sorted_X_Axis,experiment_results_20260911_182510.csv,3,20000,Sorted_X_Axis,Deterministic Grid,123.10762,1.1642911773470765,29.0,1.72962,0.0,10
Adversarial,Adversarial_Sorted_X_Axis,experiment_results_20260911_182510.csv,3,20000,Sorted_X_Axis,Randomized Grid,105.73611,1.1642911773470765,17.4,6.37539,4.78888,10
Adversarial,Adversarial_Ladder_of_Pairs,experiment_results_20260911_182510.csv,3,25000,Ladder_of_Pairs,Deterministic Grid,68778.64778,512.9265381983411,12499.0,499.77715,0.0,10
Adversarial,Adversarial_Ladder_of_Pairs,experiment_results_20260911_182510.csv,3,25000,Ladder_of_Pairs,Randomized Grid,134.09064,512.9265381983411,17.2,6.49579,2.09762,10
Adversarial,Adversarial_Sorted_X_Axis,experiment_results_20260911_182510.csv,3,25000,Sorted_X_Axis,Deterministic Grid,202.52537,1.5382633625111037,20.0,0.36817,0.0,10
Adversarial,Adversarial_Sorted_X_Axis,experiment_results_20260911_182510.csv,3,25000,Sorted_X_Axis,Randomized Grid,131.65845,1.5382633625111037,18.7,9.99648,3.335,10
Adversarial,Adversarial_Ladder_of_Pairs,experiment_results_20260911_182510.csv,5,5000,Ladder_of_Pairs,Deterministic Grid,3134.6271,15.321854408350626,2499.0,36.89548,0.0,10
Adversarial,Adversarial_Ladder_of_Pairs,experiment_results_20260911_182510.csv,5,5000,Ladder_of_Pairs,Randomized Grid,204.58536,15.321854408350626,14.1,2.75587,3.14289,10
Adversarial,Adversarial_Sorted_X_Axis,experiment_results_20260911_182510.csv,5,5000,Sorted_X_Axis,Deterministic Grid,206.93443,1.0091616042638931,6.0,1.76313,0.0,10
Adversarial,Adversarial_Sorted_X_Axis,experiment_results_20260911_182510.csv,5,5000,Sorted_X_Axis,Randomized Grid,205.05579,1.0091616042638931,15.5,2.01421,2.41523,10
Adversarial,Adversarial_Ladder_of_Pairs,experiment_results_20260911_182510.csv,5,10000,Ladder_of_Pairs,Deterministic Grid,12413.56077,28.550380681761858,4999.0,140.48471,0.0,10
Adversarial,Adversarial_Ladder_of_Pairs,experiment_results_20260911_182510.csv,5,10000,Ladder_of_Pairs,Randomized Grid,434.79493,28.550380681761858,17.9,5.38987,4.5326,10
Adversarial,Adversarial_Sorted_X_Axis,experiment_results_20260911_182510.csv,5,10000,Sorted_X_Axis,Deterministic Grid,429.62527,1.0041009830589427,26.0,2.864,0.0,10
Adversarial,Adversarial_Sorted_X_Axis,experiment_results_20260911_182510.csv,5,10000,Sorted_X_Axis,Randomized Grid,427.87058,1.0041009830589427,17.3,7.05939,3.74314,10
Adversarial,Adversarial_Ladder_of_Pairs,experiment_results_20260911_182510.csv,5,15000,Ladder_of_Pairs,Deterministic Grid,27566.89338,43.940766686537614,7499.0,190.28188,0.0,10
Adversarial,Adversarial_Ladder_of_Pairs,experiment_results_20260911_182510.csv,5,15000,Ladder_of_Pairs,Randomized Grid,627.36487,43.940766686537614,14.2,6.6903,4.63801,10
Adversarial,Adversarial_Sorted_X_Axis,experiment_results_20260911_182510.csv,5,15000,Sorted_X_Axis,Deterministic Grid,644.39097,1.0312903048470603,27.0,5.65758,0.0,10
Adversarial,Adversarial_Sorted_X_Axis,experiment_results_20260911_182510.csv,5,15000,Sorted_X_Axis,Randomized Grid,624.83955,1.0312903048470603,16.9,5.45569,3.57305,10
Adversarial,Adversarial_Ladder_of_Pairs,experiment_results_20260911_182510.csv,5,20000,Ladder_of_Pairs,Deterministic Grid,49555.79692,55.654570579024416,9999.0,409.69987,0.0,10
