Dataset_Class,Subtype,Source_File,Dimension,Num_Points,Input_Order,Det_Time_ms,Rand_Time_ms,Speedup,Det_Rebuilds,Rand_Rebuilds,Rebuild_Ratio,Det_StdDev_ms,Rand_StdDev_ms,Det_CV,Rand_CV,Iterations,Tag
Adversarial,Adversarial_Ladder_of_Pairs,experiment_results_20260911_182510.csv,2,5000,Ladder_of_Pairs,2485.26587,12.43517,199.85781215697094,2499.0,13.7,182.4087591240876,33.74339,1.41775,0.013577376331168945,0.11401130824910316,10,
Adversarial,Adversarial_Sorted_X_Axis,experiment_results_20260911_182510.csv,2,5000,Sorted_X_Axis,58.5468,13.21039,4.431875213373716,54.0,15.0,3.6,0.57303,2.64252,0.009787554571727235,0.2000334585125799,10,
Adversarial,Adversarial_Ladder_of_Pairs,experiment_results_20260911_182510.csv,2,10000,Ladder_of_Pairs,10531.08796,26.83671,392.41352460864243,4999.0,19.7,253.756345177665,130.17681,5.32947,0.012361192926547351,0.19858879870148016,10,
Adversarial,Adversarial_Sorted_X_Axis,experiment_results_20260911_182510.csv,2,10000,Sorted_X_Axis,43.43082,26.46438,1.641104760436481,38.0,16.9,2.248520710059172,0.15355,4.50433,0.0035355077339087773,0.1702034961710798,10,
Adversarial,Adversarial_Ladder_of_Pairs,experiment_results_20260911_182510.csv,2,15000,Ladder_of_Pairs,23862.96164,40.87094,583.8613361963293,7499.0,16.9,443.7278106508876,133.63168,5.8181,0.0055999620674074884,0.1423529774455885,10,
Adversarial,Adversarial_Sorted_X_Axis,experiment_results_20260911_182510.csv,2,15000,Sorted_X_Axis,38.91946,40.72745,0.9556075816187855,25.0,16.7,1.4970059880239521,0.33225,8.43849,0.008536860480592484,0.2071941651146831,10,
Adversarial,Adversarial_Ladder_of_Pairs,experiment_results_20260911_182510.csv,2,20000,Ladder_of_Pairs,45004.69322,57.59746,781.3659355811872,9999.0,18.7,534.7058823529412,3636.42915,10.27643,0.08080110961369641,0.1784181107986359,10,
Adversarial,Adversarial_Sorted_X_Axis,experiment_results_20260911_182510.csv,2,20000,Sorted_X_Axis,497.96977,65.71856,7.577307993358345,104.0,20.1,5.17412935323383,20.33758,3.89381,0.04084099321932735,0.05924977662322486,10,
Adversarial,Adversarial_Ladder_of_Pairs,experiment_results_20260911_182510.csv,2,25000,Ladder_of_Pairs,67947.13378,69.22986,981.4714890366671,12499.0,17.1,730.9356725146198,2744.5869,11.54832,0.04039297535178532,0.16681125745451456,10,
Adversarial,Adversarial_Sorted_X_Axis,experiment_results_20260911_182510.csv,2,25000,Sorted_X_Axis,263.06261,65.19159,4.035223101630133,70.0,19.2,3.6458333333333335,2.32602,10.11784,0.00884207755712604,0.1552016141959415,10,
Adversarial,Adversarial_Ladder_of_Pairs,experiment_results_20260911_182510.csv,3,5000,Ladder_of_Pairs,2654.50515,24.57074,108.03521383564353,2499.0,14.9,167.71812080536913,31.68518,1.86582,0.011936379177866729,0.07593666287625037,10,
Adversarial,Adversarial_Sorted_X_Axis,experiment_results_20260911_182510.csv,3,5000,Sorted_X_Axis,26.53308,25.18067,1.053708261138405,24.0,15.4,1.5584415584415585,0.09662,1.92213,0.0036414920544467506,0.07633355268148147,10,
Adversarial,Adversarial_Ladder_of_Pairs,experiment_results_20260911_182510.csv,3,10000,Ladder_of_Pairs,10618.78859,50.32496,211.00441192601048,4999.0,17.0,294.05882352941177,90.79544,3.01214,0.008550451798758336,0.05985379819477254,10,
Adversarial,Adversarial_Sorted_X_Axis,experiment_results_20260911_182510.csv,3,10000,Sorted_X_Axis,66.59912,56.72681,1.174032525361465,17.0,20.8,0.8173076923076923,0.37456,4.2023,0.005624098336434476,0.0740796106814397,10,
Adversarial,Adversarial_Ladder_of_Pairs,experiment_results_20260911_182510.csv,3,15000,Ladder_of_Pairs,24327.24858,80.15249,303.5120752954774,7499.0,17.9,418.93854748603354,275.08804,9.90814,0.011307815558975967,0.12361612221903523,10,
Adversarial,Adversarial_Sorted_X_Axis,experiment_results_20260911_182510.csv,3,15000,Sorted_X_Axis,131.64875,83.13335,1.5835852879740804,34.0,18.9,1.798941798941799,0.27441,6.16256,0.002084410220378089,0.07412861384751127,10,
Adversarial,Adversarial_Ladder_of_Pairs,experiment_results_20260911_182510.csv,3,20000,Ladder_of_Pairs,44117.14663,109.12018,404.2986973628526,9999.0,18.5,540.4864864864865,485.46742,6.70469,0.011004053006226798,0.06144317210620437,10,
Adversarial,Adversarial_Sorted_X_Axis,experiment_results_20260911_182510.csv,3,20000,Sorted_X_Axis,123.10762,105.73611,1.1642911773470765,29.0,17.4,1.6666666666666667,1.72962,6.37539,0.014049658339589377,0.06029529552392272,10,
Adversarial,Adversarial_Ladder_of_Pairs,experiment_results_20260911_182510.csv,3,25000,Ladder_of_Pairs,68778.64778,134.09064,512.9265381983411,12499.0,17.2,726.686046511628,499.77715,6.49579,0.007266457921630282,0.0484432768759997,10,
Adversarial,Adversarial_Sorted_X_Axis,experiment_results_20260911_182510.csv,3,25000,Sorted_X_Axis,202.52537,131.65845,1.5382633625111037,20.0,18.7,1.0695187165775402,0.36817,9.99648,0.0018178957036345618,0.07592737116379542,10,
Adversarial,Adversarial_Ladder_of_Pairs,experiment_results_20260911_182510.csv,5,5000,Ladder_of_Pairs,3134.6271,204.58536,15.321854408350626,2499.0,14.1,177.2340425531915,36.89548,2.75587,0.011770293187345952,0.013470514214702361,10,
Adversarial,Adversarial_Sorted_X_Axis,experiment_results_20260911_182510.csv,5,5000,Sorted_X_Axis,206.93443,205.05579,1.0091616042638931,6.0,15.5,0.3870967741935484,1.76313,2.01421,0.008520235129552875,0.009822741411008194,10,
Adversarial,Adversarial_Ladder_of_Pairs,experiment_results_20260911_182510.csv,5,10000,Ladder_of_Pairs,12413.56077,434.79493,28.550380681761858,4999.0,17.9,279.2737430167598,140.48471,5.38987,0.011317035667921414,0.012396349699845856,10,
Adversarial,Adversarial_Sorted_X_Axis,experiment_results_20260911_182510.csv,5,10000,Sorted_X_Axis,429.62527,427.87058,1.0041009830589427,26.0,17.3,1.5028901734104045,2.864,7.05939,0.00666627454199796,0.016498890856202358,10,
Adversarial,Adversarial_Ladder_of_Pairs,experiment_results_20260911_182510.csv,5,15000,Ladder_of_Pairs,27566.89338,627.36487,43.940766686537614,7499.0,14.2,528.0985915492957,190.28188,6.6903,0.006902550729131161,0.010664129153422313,10,
Adversarial,Adversarial_Sorted_X_Axis,experiment_results_20260911_182510.csv,5,15000,Sorted_X_Axis,644.39097,624.83955,1.0312903048470603,27.0,16.9,1.5976331360946747,5.65758,5.45569,0.008779731969242213,0.008731345511019587,10,
Adversarial,Adversarial_Ladder_of_Pairs,experiment_results_20260911_182510.csv,5,20000,Ladder_of_Pairs,49555.79692,890.41738,55.654570579024416,9999.0,18.4,543.4239130434783,409.69987,11.32712,0.008267445898638169,0.012721135339923398,10,
