Timestamp,Hour_Tag,Num_Points,Min_Separation_m,Input_Order,Algorithm,Iterations,Min_Distance_m,Flight1_ID,Flight2_ID,Flight1_Epoch_UTC,Flight2_Epoch_UTC,Mean_Time_ms,Median_Time_ms,StdDev_Time_ms,Raw_Times_ms,Mean_Rebuilds,Median_Rebuilds,StdDev_Rebuilds,Raw_Rebuilds
2026-09-12 00:35:33,states_2019-05-27-00_4d,1280803,0.05,Original,Deterministic Grid,10,2.424,8158324,8157184,1558917510.0,1558917510.0,16476.589,16531.160,297.975,"[16746.15517, 16763.15464, 16718.63961, 16776.27268, 16758.58663, 16343.68063, 16143.91291, 16245.25462, 16160.89873, 16109.33043]",24.00,24.00,0.00,"[24, 24, 24, 24, 24, 24, 24, 24, 24, 24]"
2026-09-12 00:38:12,states_2019-05-27-00_4d,1280803,0.05,Original,Randomized Grid,10,2.424,8158324,8157184,1558917550.0,1558917550.0,15823.091,15803.455,291.697,"[15440.21734, 15945.01643, 15694.04948, 15837.36449, 16247.21240, 15579.46841, 15801.60051, 16340.31607, 15805.31018, 15540.35213]",24.00,24.50,3.77,"[23, 23, 20, 28, 25, 16, 28, 26, 27, 24]"
2026-09-12 00:40:58,states_2019-05-27-00_4d,1280803,0.05,Sorted_Time,Deterministic Grid,10,2.424,8158324,8157184,1558917510.0,1558917510.0,16602.634,16763.154,272.501,"[16134.86345, 16136.66227, 16421.48491, 16797.87794, 16774.85323, 16776.72000, 16780.26776, 16633.08707, 16819.06581, 16751.45445]",22.00,22.00,0.00,"[22, 22, 22, 22, 22, 22, 22, 22, 22, 22]"
2026-09-12 00:43:40,states_2019-05-27-00_4d,1280803,0.05,Sorted_Time,Randomized Grid,10,2.424,8157184,8158324,1558917510.0,1558917510.0,16219.778,16253.195,385.353,"[15935.22977, 15835.04177, 16473.74796, 15948.19602, 16497.77596, 16246.44891, 16259.94101, 15665.65591, 16367.04789, 16968.69511]",24.40,24.50,4.33,"[22, 25, 24, 25, 25, 31, 24, 17, 31, 20]"
2026-09-12 00:46:12,states_2019-05-27-01_4d,1217785,0.05,Original,Deterministic Grid,10,1.146,11098348,10871946,1558920630.0,1558920630.0,15135.916,15050.755,176.009,"[15582.67936, 15051.37670, 15032.24259, 15024.49937, 15028.14447, 15039.67816, 15050.13378, 15261.68268, 15095.82070, 15192.89814]",23.00,23.00,0.00,"[23, 23, 23, 23, 23, 23, 23, 23, 23, 23]"
2026-09-12 00:48:40,states_2019-05-27-01_4d,1217785,0.05,Original,Randomized Grid,10,1.146,11098348,10871946,1558920850.0,1558920850.0,14791.711,14730.831,223.510,"[14808.22505, 14535.71043, 14594.58249, 14656.91506, 14682.65783, 14733.40583, 14810.91219, 15199.40571, 15167.03860, 14728.25689]",22.50,23.50,4.60,"[17, 27, 16, 26, 18, 28, 24, 27, 19, 23]"
2026-09-12 00:51:14,states_2019-05-27-01_4d,1217785,0.05,Sorted_Time,Deterministic Grid,10,1.146,11098348,10871946,1558920630.0,1558920630.0,15350.102,15324.799,242.795,"[15081.68556, 15039.07080, 15190.91996, 15649.65740, 15636.58428, 15638.23980, 15112.91396, 15502.35107, 15345.65950, 15303.93825]",32.00,32.00,0.00,"[32, 32, 32, 32, 32, 32, 32, 32, 32, 32]"
2026-09-12 00:53:37,states_2019-05-27-01_4d,1217785,0.05,Sorted_Time,Randomized Grid,10,1.146,11098348,10871946,1558920980.0,1558920980.0,14275.562,14268.773,220.589,"[14267.04405, 14347.19276, 14270.50119, 14724.66264, 14244.37877, 13988.28049, 14288.34138, 14016.18615, 14502.50385, 14106.53348]",21.20,20.50,5.77,"[24, 19, 15, 29, 31, 12, 22, 21, 19, 20]"
2026-09-12 00:56:04,states_2019-05-27-02_4d,1143456,0.05,Original,Deterministic Grid,10,2.512,8390601,8390629,1558925790.0,1558925790.0,14735.295,14870.115,256.468,"[14839.83281, 14872.81884, 14302.75918, 14330.65124, 14480.64807, 14867.41027, 14910.31263, 14903.72797, 14920.88584, 14923.90779]",21.00,21.00,0.00,"[21, 21, 21, 21, 21, 21, 21, 21, 21, 21]"
2026-09-12 00:58:27,states_2019-05-27-02_4d,1143456,0.05,Original,Randomized Grid,10,2.512,8390629,8390601,1558925790.0,1558925790.0,14254.601,14265.944,527.736,"[13903.39213, 15086.62179, 13989.35298, 14774.24117, 14073.67131, 13881.61943, 14606.34067, 14495.46041, 14458.21728, 13277.09677]",23.80,23.50,2.74,"[19, 23, 25, 23, 24, 29, 21, 26, 23, 25]"
2026-09-12 01:00:55,states_2019-05-27-02_4d,1143456,0.05,Sorted_Time,Deterministic Grid,10,2.512,8390601,8390629,1558925790.0,1558925790.0,14800.894,14868.368,170.234,"[14851.30557, 14929.38168, 14885.43017, 14889.29420, 14924.40313, 14789.50402, 14471.83393, 14839.72008, 14506.01535, 14922.04866]",26.00,26.00,0.00,"[26, 26, 26, 26, 26, 26, 26, 26, 26, 26]"
2026-09-12 01:03:16,states_2019-05-27-02_4d,1143456,0.05,Sorted_Time,Randomized Grid,10,2.512,8390629,8390601,1558925790.0,1558925790.0,14062.014,14149.211,444.323,"[14253.27378, 14417.39249, 13873.83639, 14590.96986, 13285.76587, 14045.14826, 13531.93756, 14269.44649, 14591.99660, 13760.36883]",25.70,25.00,4.76,"[21, 26, 18, 34, 23, 32, 25, 25, 25, 28]"
2026-09-12 01:05:51,states_2019-05-27-03_4d,1087375,0.05,Original,Deterministic Grid,10,0.250,10697042,10692287,1558929570.0,1558929570.0,15470.556,15461.311,265.693,"[15183.59588, 15629.68168, 15433.39565, 15190.99746, 15191.12134, 15218.82841, 15489.22618, 15815.39937, 15773.30008, 15780.01219]",19.00,19.00,0.00,"[19, 19, 19, 19, 19, 19, 19, 19, 19, 19]"
2026-09-12 01:08:08,states_2019-05-27-03_4d,1087375,0.05,Original,Randomized Grid,10,0.250,10697042,10692287,1558929570.0,1558929570.0,13655.019,13651.965,762.739,"[14113.19106, 14406.00755, 12774.23052, 14001.80121, 13772.38523, 12920.84140, 13531.54476, 12854.42469, 13092.33058, 15083.43658]",25.40,26.00,4.27,"[23, 26, 22, 26, 29, 18, 33, 28, 22, 27]"
2026-09-12 01:10:43,states_2019-05-27-03_4d,1087375,0.05,Sorted_Time,Deterministic Grid,10,0.250,10692287,10697042,1558929570.0,1558929570.0,15488.677,15390.509,249.246,"[15784.47040, 15335.37980, 15355.28885, 15185.47721, 15398.31649, 15770.75146, 15382.70101, 15172.59031, 15719.23788, 15782.55782]",20.00,20.00,0.00,"[20, 20, 20, 20, 20, 20, 20, 20, 20, 20]"
2026-09-12 01:12:59,states_2019-05-27-03_4d,1087375,0.05,Sorted_Time,Randomized Grid,10,0.250,10697042,10692287,1558929570.0,1558929570.0,13554.260,13616.011,351.384,"[13609.61079, 13331.44146, 13344.02908, 13721.83376, 14207.91132, 13653.59793, 13622.41142, 13156.84913, 13021.00524, 13873.91256]",25.90,26.50,5.30,"[32, 25, 21, 28, 29, 32, 24, 18, 19, 31]"
2026-09-12 01:15:05,states_2019-05-27-04_4d,1077477,0.05,Original,Deterministic Grid,10,4.677,8158274,8158262,1558929810.0,1558929810.0,12592.766,12661.081,128.436,"[12674.83738, 12665.76104, 12642.76737, 12666.13841, 12656.40083, 12671.33616, 12529.01031, 12290.38638, 12462.29169, 12668.73377]",16.00,16.00,0.00,"[16, 16, 16, 16, 16, 16, 16, 16, 16, 16]"
2026-09-12 01:17:17,states_2019-05-27-04_4d,1077477,0.05,Original,Randomized Grid,10,4.677,8158262,8158274,1558929810.0,1558929810.0,13204.457,13248.326,350.279,"[13405.61159, 13392.91556, 13767.87365, 13186.66075, 13309.99073, 12531.84798, 13170.21445, 13454.59735, 12992.04179, 12832.81257]",24.00,24.00,3.06,"[29, 19, 26, 20, 22, 27, 24, 25, 24, 24]"
2026-09-12 01:19:22,states_2019-05-27-04_4d,1077477,0.05,Sorted_Time,Deterministic Grid,10,4.677,8158274,8158262,1558929810.0,1558929810.0,12508.614,12634.645,211.154,"[12452.88245, 12667.32454, 12684.18733, 12670.20533, 12601.96633, 12246.61538, 12239.16193, 12670.50421, 12678.07498, 12175.21646]",14.00,14.00,0.00,"[14, 14, 14, 14, 14, 14, 14, 14, 14, 14]"
2026-09-12 01:21:36,states_2019-05-27-04_4d,1077477,0.05,Sorted_Time,Randomized Grid,10,4.677,8158274,8158262,1558929810.0,1558929810.0,13338.358,13307.085,278.922,"[13058.56556, 13225.21493, 13530.56170, 13582.71002, 13784.98075, 13572.08030, 13344.70314, 12875.70713, 13139.58783, 13269.46672]",22.70,23.00,5.72,"[15, 29, 28, 23, 23, 23, 19, 20, 15, 32]"
2026-09-12 01:24:20,states_2019-05-27-05_4d,1280291,0.05,Original,Deterministic Grid,10,3.363,8157621,8157622,1558936530.0,1558936530.0,16414.303,16482.486,155.604,"[16068.01354, 16180.56598, 16463.42216, 16503.14614, 16488.26700, 16484.50659, 16475.72759, 16501.15631, 16497.76046, 16480.46443]",13.00,13.00,0.00,"[13, 13, 13, 13, 13, 13, 13, 13, 13, 13]"
2026-09-12 01:27:03,states_2019-05-27-05_4d,1280291,0.05,Original,Randomized Grid,10,3.363,8157621,8157622,1558936530.0,1558936530.0,16271.105,16311.435,286.669,"[16306.81675, 16316.05419, 15898.04545, 16641.14620, 16629.70315, 16447.21472, 16394.89655, 16088.82343, 16216.29296, 15772.05829]",22.20,22.50,3.91,"[18, 18, 23, 23, 20, 25, 19, 31, 22, 23]"
2026-09-12 01:29:45,states_2019-05-27-05_4d,1280291,0.05,Sorted_Time,Deterministic Grid,10,3.363,8157621,8157622,1558936530.0,1558936530.0,16154.596,16158.875,274.660,"[16150.29194, 16495.47399, 16455.63763, 16461.88232, 16354.34612, 15873.79451, 15834.08044, 15902.45092, 15850.53853, 16167.45886]",12.00,12.00,0.00,"[12, 12, 12, 12, 12, 12, 12, 12, 12, 12]"
2026-09-12 01:32:23,states_2019-05-27-05_4d,1280291,0.05,Sorted_Time,Randomized Grid,10,3.363,8157621,8157622,1558936530.0,1558936530.0,15803.343,15753.072,393.159,"[15497.17283, 15614.91032, 15818.86773, 15100.33081, 15778.13233, 15616.72476, 16258.85410, 16360.17315, 16260.24998, 15728.01167]",23.00,23.00,3.37,"[21, 19, 25, 23, 19, 26, 30, 23, 23, 21]"
2026-09-12 01:35:09,states_2019-05-27-06_4d,1291352,0.05,Original,Deterministic Grid,10,2.693,8391411,8391979,1558938990.0,1558938990.0,16572.633,16601.056,286.953,"[16197.71509, 16233.42657, 16372.28006, 16479.37514, 16872.79167, 16284.72399, 16810.81491, 16872.98206, 16879.48483, 16722.73673]",14.00,14.00,0.00,"[14, 14, 14, 14, 14, 14, 14, 14, 14, 14]"
