Timestamp,Space_Type,Dimensions,Num_Points,Input_Order,Algorithm,Iterations,Min_Distance,Mean_Time_ms,Median_Time_ms,StdDev_Time_ms,Raw_Times_ms,Mean_Rebuilds,Median_Rebuilds,StdDev_Rebuilds,Raw_Rebuilds
2026-09-11 09:34:41,Normal,2,100000,Original,Deterministic Grid,10,0.00861,272.94087,270.91290,4.99532,"[272.92337, 279.98894, 270.24998, 267.71080, 271.13022, 269.96332, 269.70910, 273.49602, 283.54140, 270.69558]",22.00000,22.00000,0.00000,"[22, 22, 22, 22, 22, 22, 22, 22, 22, 22]"
2026-09-11 09:34:45,Normal,2,100000,Original,Randomized Grid,10,0.00861,309.41637,299.96992,49.88500,"[249.59822, 376.14935, 302.78198, 411.27647, 307.59136, 282.10339, 297.15785, 274.56420, 269.11945, 323.82145]",20.80000,21.00000,1.98886,"[19, 22, 21, 24, 17, 21, 20, 21, 20, 23]"
2026-09-11 09:34:47,Normal,2,100000,Sorted_X_Axis,Deterministic Grid,10,0.00861,247.49150,249.18665,3.27035,"[249.71624, 249.79129, 241.05157, 249.63708, 245.50035, 250.88326, 249.64364, 248.73622, 243.29637, 246.65899]",11.00000,11.00000,0.00000,"[11, 11, 11, 11, 11, 11, 11, 11, 11, 11]"
2026-09-11 09:34:51,Normal,2,100000,Sorted_X_Axis,Randomized Grid,10,0.00861,385.14968,337.67934,111.45623,"[315.89464, 370.78237, 334.04540, 669.94334, 387.59944, 309.83005, 340.59689, 314.27084, 334.76179, 473.77198]",20.40000,21.00000,4.45222,"[25, 20, 13, 25, 21, 21, 17, 14, 25, 23]"
2026-09-11 09:35:02,Normal,2,250000,Original,Deterministic Grid,10,0.00556,1088.63142,1094.71445,31.40273,"[1038.88912, 1113.38361, 1064.51417, 1054.41811, 1062.21367, 1113.60186, 1126.34529, 1123.51952, 1093.98043, 1095.44848]",25.00000,25.00000,0.00000,"[25, 25, 25, 25, 25, 25, 25, 25, 25, 25]"
2026-09-11 09:35:13,Normal,2,250000,Original,Randomized Grid,10,0.00556,1071.60768,1054.10100,188.71879,"[1059.18742, 1076.55850, 853.01824, 1010.34899, 1125.00880, 1049.01458, 886.95547, 1504.05387, 927.11311, 1224.81785]",22.50000,21.00000,4.37798,"[28, 17, 17, 28, 21, 21, 26, 19, 21, 27]"
2026-09-11 09:35:23,Normal,2,250000,Sorted_X_Axis,Deterministic Grid,10,0.00556,1029.95606,1028.74411,26.91354,"[1041.63471, 1053.31784, 1067.82565, 1058.97746, 1047.83625, 1015.85352, 996.32922, 1013.22436, 995.23098, 1009.33058]",16.00000,16.00000,0.00000,"[16, 16, 16, 16, 16, 16, 16, 16, 16, 16]"
2026-09-11 09:35:35,Normal,2,250000,Sorted_X_Axis,Randomized Grid,10,0.00556,1147.04306,1097.64760,171.77983,"[958.81997, 1262.42196, 1047.30864, 1229.75243, 1293.49898, 1090.54954, 997.50894, 1500.66656, 1104.74566, 985.15791]",25.20000,25.50000,3.61478,"[24, 29, 25, 22, 28, 26, 20, 29, 29, 20]"
2026-09-11 09:35:58,Normal,2,500000,Original,Deterministic Grid,10,0.00292,2355.09134,2373.66665,45.09684,"[2257.53107, 2380.78135, 2376.03965, 2382.47957, 2388.89668, 2411.36574, 2332.95065, 2329.12433, 2320.45070, 2371.29365]",26.00000,26.00000,0.00000,"[26, 26, 26, 26, 26, 26, 26, 26, 26, 26]"
2026-09-11 09:36:23,Normal,2,500000,Original,Randomized Grid,10,0.00292,2455.77243,2430.81536,366.84497,"[1968.57336, 2509.75979, 2424.24057, 2263.28845, 2954.50520, 2007.98011, 2556.24232, 3127.61490, 2308.12944, 2437.39016]",22.70000,23.00000,4.64399,"[19, 30, 17, 26, 25, 26, 17, 19, 21, 27]"
