Dimensions,Algorithm,Input_Order,Mean_Time,StdDev_Time,Min_Time,Max_Time,Mean_Rebuilds
2,Deterministic Grid,Ladder_of_Pairs,0.0472437,0.00142742,0.0472437,0.0472437,975.0
2,Deterministic Grid,Original,0.00086589,0.00014799,0.00086589,0.00086589,8.0
2,Deterministic Grid,Sorted_X_Axis,0.00037205,1.6930000000000002e-05,0.00037205,0.00037205,2.0
2,Randomized Grid,Ladder_of_Pairs,0.00036191,3.7330000000000003e-05,0.00036191,0.00036191,7.0
2,Randomized Grid,Original,0.00053498,0.00015015000000000002,0.00053498,0.00053498,9.5
2,Randomized Grid,Sorted_X_Axis,0.00051877,3.071e-05,0.00051877,0.00051877,7.0
3,Deterministic Grid,Ladder_of_Pairs,0.055712899999999996,0.0016420999999999999,0.055712899999999996,0.055712899999999996,975.0
3,Deterministic Grid,Original,0.0008971,9.66e-06,0.0008971,0.0008971,7.0
3,Deterministic Grid,Sorted_X_Axis,0.00071702,5.0899999999999995e-06,0.00071702,0.00071702,1.0
3,Randomized Grid,Ladder_of_Pairs,0.00095735,3.7080000000000004e-05,0.00095735,0.00095735,8.5
3,Randomized Grid,Original,0.0008605,5.428e-05,0.0008605,0.0008605,8.5
3,Randomized Grid,Sorted_X_Axis,0.0008739599999999999,0.00016581,0.0008739599999999999,0.0008739599999999999,7.5
4,Deterministic Grid,Ladder_of_Pairs,0.05914236,0.0019735,0.05914236,0.05914236,975.0
4,Deterministic Grid,Original,0.00237151,2.514e-05,0.00237151,0.00237151,9.0
4,Deterministic Grid,Sorted_X_Axis,0.00229657,9.83e-06,0.00229657,0.00229657,7.0
4,Randomized Grid,Ladder_of_Pairs,0.00258803,0.00015387999999999998,0.00258803,0.00258803,8.0
4,Randomized Grid,Original,0.0026306199999999997,0.00022332,0.0026306199999999997,0.0026306199999999997,5.5
4,Randomized Grid,Sorted_X_Axis,0.00238964,4.1700000000000004e-05,0.00238964,0.00238964,9.0
5,Deterministic Grid,Ladder_of_Pairs,0.0667237,0.0018105999999999999,0.0667237,0.0667237,975.0
5,Deterministic Grid,Original,0.00807244,0.0012015700000000001,0.00807244,0.00807244,7.0
5,Deterministic Grid,Sorted_X_Axis,0.00849251,0.00202849,0.00849251,0.00849251,7.0
5,Randomized Grid,Ladder_of_Pairs,0.0068435100000000006,9.128e-05,0.0068435100000000006,0.0068435100000000006,8.5
5,Randomized Grid,Original,0.00666428,0.00010837,0.00666428,0.00666428,5.5
5,Randomized Grid,Sorted_X_Axis,0.00714269,0.00028909000000000004,0.00714269,0.00714269,10.5
7,Deterministic Grid,Ladder_of_Pairs,0.13370272,0.00404979,0.13370272,0.13370272,975.0
7,Deterministic Grid,Original,0.07184842000000001,0.00176082,0.07184842000000001,0.07184842000000001,8.0
7,Deterministic Grid,Sorted_X_Axis,0.07131768,0.00150004,0.07131768,0.07131768,9.0
7,Randomized Grid,Ladder_of_Pairs,0.07154034,0.0008293199999999999,0.07154034,0.07154034,10.0
7,Randomized Grid,Original,0.06999397,0.00054898,0.06999397,0.06999397,9.5
7,Randomized Grid,Sorted_X_Axis,0.06965475,0.00018813,0.06965475,0.06965475,8.5
9,Deterministic Grid,Ladder_of_Pairs,0.79970436,0.00011706,0.79970436,0.79970436,975.0
9,Deterministic Grid,Original,0.74183193,0.00225035,0.74183193,0.74183193,4.0
9,Deterministic Grid,Sorted_X_Axis,0.7504756,0.004340760000000001,0.7504756,0.7504756,1.0
9,Randomized Grid,Ladder_of_Pairs,0.76376024,0.00023877000000000002,0.76376024,0.76376024,8.5
9,Randomized Grid,Original,0.74371505,0.0030062799999999996,0.74371505,0.74371505,7.5
9,Randomized Grid,Sorted_X_Axis,0.7475234000000001,0.00452497,0.7475234000000001,0.7475234000000001,6.0
